GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AMH	4.500551679775745	0.6092656763097297	0.2151932876709765	0.733893	1.0	0.143577	39.0	45.0	55.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HIST1H2BD	0.9909178238462284	0.609291232117013	0.21517507145799775	NA	0.609291232117013	NA	NA	11.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
BCL2L2	4.4997765636506095	0.6093690726747307	0.21511959131378014	0.41658	0.533065014772818	0.474687	4.0	13.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TRIML2	4.499231685986366	0.6094417591190626	0.21506779111493635	0.526402	0.200302662586234	1.0	17.0	46.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PDXDC1	4.499223795577915	0.6094428117122761	0.2150670410268062	0.4991	0.234200222966487	0.902051	35.0	37.0	102.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
COL25A1	4.4990677769647345	0.6094636249415413	0.21505220958388407	0.360985	0.377725970545472	0.773346	12.0	61.0	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CLPS	0.9903212592948745	0.609473	0.2150455291116217	NA	NA	0.609473	NA	NA	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FOXJ2	4.49880653153947	0.6094984760643289	0.21502737591545998	0.261692	0.777163041238023	0.518554	9.0	52.0	21.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLX2	4.4982521983489665	0.6095724278693904	0.21497468519697802	0.509481	0.53268435740143	0.388704	5.0	25.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
EFCAB6-AS1	0.9898717410895458	0.6096099999999998	0.21494791747357722	NA	NA	0.60961	NA	NA	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
POLR2K	0.9896905358592286	0.609665234762396	0.2149085692577677	NA	0.609665234762396	NA	NA	5.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TAAR1	4.497056559328049	0.6097319419460221	0.21486105305495143	0.77647	0.445085090600522	0.305428	9.0	28.0	24.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FAM120A	4.496960597673127	0.6097447449586277	0.2148519339339608	0.711675	0.191421775588055	0.774862	11.0	63.0	38.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
OSBP	4.496932355279272	0.609748513015417	0.21484925012040074	0.665792	0.485076059512731	0.326855	11.0	37.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ANKZF1	4.496402699244351	0.6098191799985313	0.2147989203502216	0.125666	1.0	0.840235	21.0	69.0	47.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SYTL4	0.9891566575762474	0.609828	0.2147926390616143	NA	NA	0.609828	NA	NA	27.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NFKB1	4.495603121282255	0.6099258640184835	0.21472294991440324	0.606657	0.307603927483006	0.566053	18.0	48.0	40.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TBC1D9	4.495562469046201	0.6099312881855385	0.21471908768214645	1.0	0.483835293029129	0.218325	18.0	82.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
UIMC1	4.495473245969091	0.6099431931298784	0.2147106109876774	0.331942	0.38760948380286	0.821039	24.0	70.0	42.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HUWE1	0.9885369067013006	0.610017	0.21465806186904227	NA	NA	0.610017	NA	NA	35.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TNNI2	4.494277213505364	0.6101027841717539	0.21459699312321578	0.192056	0.796524827055842	0.69096	6.0	19.0	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MAPK10	2.6947906189657025	0.6101264946850631	0.21458011540150723	NA	0.764972927301049	0.339772	NA	22.0	15.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GCC2	4.493505476357871	0.6102057654908482	0.21452369327009208	0.223235	0.675861706593797	0.700854	32.0	129.0	87.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MEOX2	4.493243252069127	0.6102407579362799	0.21449878922772442	0.670815	0.796045657011372	0.198045	9.0	24.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TMEM134	4.493168380971643	0.6102507491809726	0.2144916787441001	0.257841	0.82643866993102	0.496316	7.0	15.0	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MMP21	4.492831729338457	0.6102956744850283	0.2144597081262199	0.746793	0.297553386959646	0.476024	14.0	39.0	37.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HMBOX1	2.6938203155206453	0.6102964103478312	0.21445918447682263	NA	0.487628470838209	0.53328	NA	17.0	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
OR52I2	4.4926547272937185	0.6103192952903842	0.2144428995736796	0.877365	0.681029613237425	0.177046	9.0	30.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NOL4	4.4923889811415005	0.6103547593683916	0.21441766457613062	0.300397	0.488976915692874	0.720288	4.0	40.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
