COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	CMCWald	2	0.9923488761563826	0.9994093825778115
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	SkatO	2	0.9663961977233457	0.9974060031595329
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	CMCWald	3	0.9935626678198842	0.9995030794670561
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	SkatO	3	0.9643745544358249	0.9972499453343734
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	CMCWald	4	0.9966821393405276	0.9997438825524289
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.001	SkatO	4	0.964517712830327	0.9972609962392671
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	CMCWald	1	0.9822972197646838	0.9986334595228291
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	SkatO	1	0.959158303820651	0.996847284424056
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	CMCWald	2	0.9874721829195238	0.9990329333074525
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	SkatO	2	0.9621290698799815	0.9970766084067477
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	CMCWald	3	0.9896489852239074	0.9992009684081653
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	SkatO	3	0.960292805643755	0.996934860648925
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	CMCWald	4	0.9918873137289328	0.9993737529348139
UKB_EXOM_ALL_PD	ALL_MISSENSE_SNPEFF	0.01	SkatO	4	0.960292805643755	0.996934860648925
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	1	0.9840461282435141	0.9987684639794975
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	1	0.9770433403891907	0.9982278939148653
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	2	0.9961074634290199	0.9996995212778781
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	2	0.9841729467140918	0.9987782535476328
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	3	1.0000419905836762	1.0000032414022821
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	3	0.9843989463130177	0.9987956992593036
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	4	1.0026901129294292	1.0002076593708649
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	4	0.9817400703808302	0.9985904511831929
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	1	0.9959213746158669	0.9996851564215029
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	1	0.9651314732671182	0.9973083745871318
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	2	1.005305611686437	1.000409559008771
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	2	0.9698279004205649	0.9976709084783036
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	3	1.0120193849244201	1.0009278190087425
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	3	0.9704395080850173	0.997718120646026
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	4	1.0146857427509315	1.0011336446388477
UKB_EXOM_ALL_PD	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	4	0.9687149401696212	0.9975849951238938
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	1	0.7246506544290064	0.8510101103186293
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	1	0.9593009272585838	0.9779779743245686
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	2	0.7652224076409042	0.8729632441555206
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	2	0.9806126579608551	0.9895096247799781
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	3	0.7918626517217767	0.8873781214397327
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	3	0.9956748784436434	0.9976597025055434
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	4	0.8183489491484578	0.9017096991069538
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	4	0.9972640488735368	0.9985195931529814
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	1	0.7918012807252801	0.8873449139593274
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	1	0.960736905075815	0.9787549733623927
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	2	0.826804270995188	0.906284823360663
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	2	0.9814224594544458	0.9899478035413756
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	3	0.8466903335526665	0.9170450532805545
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	3	0.9902325434265934	0.9947148874666047
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	4	0.8659552277719379	0.9274691727150874
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	4	0.9897230740259984	0.9944392166106117
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	CMCWald	1	0.0372557053789433	0.47906480057357814
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	SkatO	1	0.6736953000306384	0.8234384717707156
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	CMCWald	2	0.056750424013547886	0.4896132766293899
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	SkatO	2	0.9278929164828996	0.9609832868998476
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	CMCWald	3	0.16279140709057324	0.5469914205199722
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	SkatO	3	1.111030218605905	1.0600777894971503
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	CMCWald	4	0.24768663207579755	0.592927720745398
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.001	SkatO	4	1.145707470727832	1.0788414439281608
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.01	CMCWald	1	0.03771906615967625	0.47931552233019203
UKB_EXOM_PD_CASE	ALL_LOF_HC_LOFTEE	0.01	SkatO	1	0.6713974619423584	0.8221951252773054
