GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
LURAP1L	2.778333023684736	0.0054638587362188015	2.2625005375244998	0.000251641	0.78827	9.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ENO3	-2.776850296681283	0.005488845338896213	2.260519006312618	0.0178027	0.119385	15.0	131.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ICE1	2.774686896766724	0.005525487539615991	2.257629396118247	0.125181	0.01682	58.0	371.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ITFG1-AS1	-2.7730059474794944	0.005554110563173393	2.2553854791953802	NA	0.00555418	NA	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
FAM163B	2.7729936638027883	0.005554320219835267	2.2553690857491526	0.187239	0.00924594	4.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CDH13	-2.7710197506121617	0.005588103715278396	2.2527355419717616	0.00532009	0.257707	40.0	192.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
TMEM205	2.769782531571273	0.0056093731119335995	2.251085671585304	0.0815463	0.029609	5.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
JUNB	2.7670910461175127	0.005655895704927496	2.2474986075548795	NA	0.00565588	NA	43.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PLCD3	2.7632596831408396	0.005722721636425899	2.2423973784502245	0.323183	0.00350138	26.0	171.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SPART	-2.758350588881281	0.005809385546282421	2.2358698001347785	0.487925	0.00133992	10.0	136.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
OR52W1	-2.7577794555787953	0.005819544648162152	2.2351109955094013	0.0157741	0.137282	11.0	57.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CHAC2	-2.7538273273276968	0.005890283594118695	2.2298637951287072	0.123008	0.0186609	8.0	49.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
HIKESHI	-2.7527059654384782	0.005910495454449594	2.228376112331153	0.0316252	0.0811933	4.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
BEAN1	-2.752652508753535	0.005911460537475353	2.228305205243716	0.0105342	0.181856	19.0	77.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KCTD20	-2.7490153344192527	0.005977458971344913	2.2234833961539953	0.00641836	0.245199	9.0	73.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
GSTM5	-2.7417985062416754	0.006110381182624352	2.213931696411022	0.0159737	0.14211	9.0	62.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
GPN1	-2.7417700464177934	0.006110910594553016	2.213894070162732	0.0642317	0.0426747	14.0	104.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ACER2	2.741031423579229	0.006124664973247135	2.212917662759268	0.0601542	0.0458532	5.0	60.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ABCC1	-2.739643394452076	0.006150587821146519	2.211083376048846	0.0432886	0.0638076	41.0	323.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PHF23	2.7373247882656853	0.006194110582304316	2.2080210455314013	0.00883457	0.210287	8.0	71.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RAB11FIP2	-2.735829201333374	0.006222331301559331	2.206046869053648	0.0259912	0.100445	9.0	86.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KAT2B	2.728911905174978	0.006354367664550906	2.1969276604458936	0.0606067	0.0473787	13.0	136.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
TRAPPC6B	2.725558233426975	0.006419285160558443	2.19251333144982	0.073142	0.0391531	5.0	35.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RFX2	2.723939088123971	0.006450840266587664	2.190383711818308	0.101576	0.0267621	24.0	159.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KRT6B	-2.7109784705768063	0.00670849819413028	2.1733746927970787	0.00528046	0.296258	16.0	115.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
