GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TMEM80	0.29175466354393254	0.864263714380804	0.06335372022333488	NA	0.864263714380804	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CPLANE1	3.9197108721496914	0.8642937591042564	0.0633386229438898	0.516771	NA	0.989595	0.642086	0.429039	7.0	NA	18.0	9.0	53.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CCT8L2	3.919064517901496	0.8643508766875705	0.0633099231744307	NA	0.652522241060872	0.920381	0.261598	0.896992	NA	5.0	3.0	2.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KLHL12	1.2824040942303032	0.8643537870813892	0.06330846084485858	NA	0.917637851546546	NA	NA	0.573929	NA	5.0	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
STK4	0.29153266668247063	0.8643596516211811	0.06330551421736845	NA	0.864359651621181	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PIF1	3.916106374530127	0.8646121593111167	0.06317866114033917	NA	0.329504310821862	0.52648	0.907658	0.89632	NA	7.0	6.0	4.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
MTERF1	3.915275017124284	0.8646855532577412	0.06314179694302761	NA	0.629969732497962	0.867316	0.897016	0.288079	NA	8.0	4.0	2.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
DHCR7	5.376020944659483	0.8646869290270783	0.06314110595362236	0.25917	0.965247038114129	0.378515	0.911764	0.787813	6.0	6.0	7.0	4.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TMEM127	0.2906952745476828	0.8647216313825921	0.06312367682570467	NA	0.864721631382592	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ELAVL3	0.29062734952388536	0.864751	0.06310892709419554	NA	NA	0.864751	NA	NA	NA	NA	2.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ADGRD1	3.914342983401474	0.8647678158048127	0.06310048195769587	NA	0.876048742689408	0.917244	0.877383	0.200359	NA	9.0	2.0	5.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CRYBA2	0.2904068907078037	0.864846326244614	0.06306105507053995	NA	0.864846326244614	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLAMF7	0.29015442000386815	0.864955507316116	0.06300623175375922	NA	0.864955507316116	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
