GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SELO	2.240617685453368	0.02505085013566176	1.6011775311555425	NA	0.0250508501356619	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SLC6A12	2.2389889738699815	0.02515663359361347	1.5993474756884052	NA	0.0251566335936136	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
GFM2	2.234482791666993	0.025451323572685428	1.5942896276546519	NA	0.0254513235726858	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
FAM162A	2.233334723449105	0.025526879315277647	1.5930022748547552	NA	NA	0.0255273	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
OTUB2	2.2315650041599158	0.025643726759604066	1.591018859281224	NA	NA	0.0256434	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CETN3	2.2264783512442823	0.025982157484679674	1.5853247891833966	NA	0.0259821574846793	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
HIP1	2.2174192484230764	0.026594455577163202	1.5752088958210826	NA	NA	0.0265946	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SEMG2	2.214065352128381	0.026824283652556017	1.5714718671214178	NA	0.0268242836525562	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
THEG	2.2129083861347856	0.026903962419640482	1.5701837523301352	0.242283	0.303983897397899	0.101915	3.0	11.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RTEL1	-2.197938504156821	0.02795348854551584	1.5535639852185126	NA	0.029468492960798	0.351754	NA	16.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
BCAS4	2.196267163911681	0.028072826543556927	1.5517138577442986	0.227021	0.366921174565869	0.0903185	3.0	3.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TCEANC2	2.19186987581768	0.028388903802117685	1.5468513768254175	NA	0.155015559944507	0.0933998	NA	4.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
KRT9	2.191116869384438	0.02844333627519644	1.5460194641684188	NA	0.0284433362751969	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
