GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
HSD3B1	2.987634408510582	0.8103972377746506	0.09130204793068748	0.33581	0.668574497335927	1.0	21.0	50.0	90.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
THAP5	2.986329127813045	0.8105607063286083	0.09121445344195013	0.433552	1.0	0.518186	6.0	27.0	62.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CBFA2T3	2.986056971902393	0.8105947855737669	0.09119619433207957	0.849594	0.344221093155811	0.768311	33.0	106.0	213.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ERGIC3	2.985702460025591	0.8106391750357442	0.0911724123254542	0.78379	0.624547389338506	0.45909	9.0	33.0	65.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CKMT1A	2.9856263615920655	0.8106487031932529	0.09116730770919902	1.0	0.908119236761615	0.247478	2.0	10.0	21.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PALM2AKAP2	1.5892438445843011	0.8107240426393236	0.09112694745791712	0.451752	NA	1.0	37.0	NA	245.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DMP1	2.984705920467991	0.8107639403279391	0.0911055753032149	0.613463	0.778209994123027	0.470971	19.0	39.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
FAM196A	0.4195158855185367	0.810780477504821	0.0910967170757284	NA	0.810780477504821	NA	NA	64.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
OPRL1	2.9839635430169866	0.8108568711547284	0.09105579875245567	0.828019	0.70567535234835	0.384942	24.0	51.0	123.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
KIRREL2	2.9838789208339853	0.8108674634160953	0.09105012558030857	0.622988	0.47663413303836	0.75752	22.0	59.0	112.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PNMAL2	0.4192595178538988	0.810884413114887	0.09104104754468308	NA	0.810884413114887	NA	NA	51.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
STX19	2.9826578220302062	0.8110202928377028	0.09096827901057261	1.0	0.294196998405875	0.765043	8.0	31.0	54.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
VCAN-AS1	1.587270451454739	0.811078193869531	0.0909372746062948	0.701675	NA	0.644455	43.0	NA	252.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
STX5	2.9819168907758504	0.811113010278072	0.0909186324461441	0.698181	0.838504524120839	0.384602	15.0	38.0	75.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
EPHX2	2.9818364701578477	0.8111230731162035	0.09091324453113277	0.838596	0.40232147021897	0.667385	13.0	52.0	93.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
METTL21B	0.4185044751911933	0.81119059706995	0.0908770921136758	NA	0.81119059706995	NA	NA	17.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PCP2	2.981133823177012	0.8112109877612023	0.09086617550119673	0.298716	0.754043725071828	1.0	6.0	18.0	42.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RNF40	2.980887362762247	0.8112418221969301	0.09084966811779721	0.517945	0.593087706668174	0.733341	15.0	72.0	183.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
