GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
DIRAS2	1.5572577893870791	0.8164528529614712	0.0880688890532855	0.727642878682142	0.630852	14.0	4.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MUC5B	1.5566409250307165	0.8165630873029036	0.08801025623153201	0.459176568292933	1.0	632.0	528.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GBP5	1.5564442220479742	0.8165982363076468	0.0879915624030828	0.708242696151906	0.648396	61.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SMG5	1.5563436333811356	0.8166162101919286	0.08798200339045098	0.551599720918974	0.832569	94.0	85.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
HEXA	1.555944581801302	0.8166875129706835	0.0879440846580828	0.798634914552798	0.575152	52.0	40.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RPA2	1.555886426073208	0.8166979039326576	0.08793855903332776	0.547374158224905	0.839188	25.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KCTD4	1.5557845698926607	0.816716102855584	0.08792888152135468	0.608198071099391	0.755302	15.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAM78A	1.5552046913802196	0.8168197062945413	0.08787379316436413	0.897659337944027	0.511894	34.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PRG4	1.5551967722531002	0.8168211210983718	0.08787304092863853	0.580077319429444	0.79215	86.0	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ALG11	1.555096869739848	0.8168389691978555	0.08786355140120922	0.724392154354817	0.634368	42.0	58.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ARPC1B	1.5548635169651968	0.8168806578813234	0.08784138705318799	0.776088428609323	0.592181	23.0	21.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GAS6	1.5543500800943466	0.8169723789371315	0.08779262630475344	0.796109048752153	0.577437	79.0	54.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CPSF2	1.553595059898488	0.8171072444988949	0.0877209390153881	0.797716522898583	0.576491	46.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PRAP1	1.5534701142006555	0.817129561527393	0.08770907762260334	0.565471259758997	0.813313	14.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC27A2	1.553463255607241	0.8171307865553674	0.08770842653553501	0.45990670384221	1.0	51.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CD37	1.5531076259293786	0.8171943046742546	0.08767466878599608	0.807413805278161	0.569706	32.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NCKIPSD	1.5530715108935371	0.8172007549079083	0.08767124084993326	0.846827679814406	0.5432	89.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
OR4D9	1.552955144728708	0.8172215379612979	0.08766019601110052	0.628792807642012	0.731598	40.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
C1orf198	1.5526800158977716	0.8172706747190975	0.08763408414270266	0.564744786868008	0.814681	36.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ABCA13	1.5523663940980679	0.8173266837708865	0.087604322168585	1.0	0.460159	455.0	288.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DUSP27	0.4034264278698842	0.817329292986108	0.08760293573891549	0.817329292986108	NA	146.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GLB1L2	1.5512572102380657	0.8175247502313154	0.08749909037877682	0.550541821164426	0.836293	51.0	30.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PEX13	1.5505750658440833	0.8176465446745452	0.08743439421528154	0.685253679468752	0.672118	39.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
COA7	1.5502589598151786	0.8177029801951328	0.08740441941807581	0.909294669267698	0.506595	15.0	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
WRB	0.40238482108708057	0.817755071717667	0.08737675369987317	0.817755071717667	NA	16.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IL22RA2	1.5498884476642012	0.817769125737775	0.08736928993578932	0.931485465565427	0.494618	40.0	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TCF3	1.5497882247462336	0.8177870173852353	0.08735978828242558	0.879485094002493	0.523889	135.0	91.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CSRNP2	1.5494171669977486	0.8178532557993506	0.08732461309356813	0.701194057455866	0.657219	35.0	22.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
